date,Traffic_Volume
1/1/2022,38212
1/2/2022,37989
1/3/2022,38157
1/4/2022,37222
1/5/2022,37754
1/6/2022,37892
1/7/2022,37759
1/8/2022,38405
1/9/2022,36918
1/10/2022,37336
1/11/2022,38540
1/12/2022,38435
1/13/2022,38747
1/14/2022,37169
1/15/2022,38412
1/16/2022,38600
1/17/2022,38689
1/18/2022,38598
1/19/2022,38757
1/20/2022,37509
1/21/2022,37219
1/22/2022,38716
1/23/2022,38469
1/24/2022,38719
1/25/2022,38595
1/26/2022,38824
1/27/2022,36906
1/28/2022,38707
1/29/2022,37749
1/30/2022,38586
1/31/2022,39161
2/1/2022,37471
2/2/2022,37580
2/3/2022,38663
2/4/2022,37735
2/5/2022,37874
2/6/2022,37668
2/7/2022,37469
2/8/2022,38093
2/9/2022,37841
2/10/2022,38398
2/11/2022,38112
2/12/2022,37613
2/13/2022,37803
2/14/2022,38368
2/15/2022,38191
2/16/2022,38704
2/17/2022,37356
2/18/2022,38068
2/19/2022,37620
2/20/2022,38380
2/21/2022,37942
2/22/2022,38187
2/23/2022,38179
2/24/2022,37171
2/25/2022,37895
2/26/2022,38276
2/27/2022,37634
2/28/2022,37358
3/1/2022,37223
3/2/2022,38069
3/3/2022,37354
3/4/2022,38229
3/5/2022,37260
3/6/2022,37201
3/7/2022,38693
3/8/2022,38367
3/9/2022,37329
3/10/2022,37115
3/11/2022,37848
3/12/2022,38451
3/13/2022,38070
3/14/2022,37615
3/15/2022,37876
3/16/2022,37899
3/17/2022,38626
3/18/2022,38883
3/19/2022,38898
3/20/2022,37234
3/21/2022,38838
3/22/2022,37017
3/23/2022,38257
3/24/2022,38212
3/25/2022,37790
3/26/2022,37436
3/27/2022,38630
3/28/2022,37152
3/29/2022,37822
3/30/2022,37518
3/31/2022,38817
4/1/2022,37324
4/2/2022,38331
4/3/2022,37911
4/4/2022,37632
4/5/2022,38127
4/6/2022,38058
4/7/2022,37843
4/8/2022,37396
4/9/2022,37427
4/10/2022,37124
4/11/2022,38253
4/12/2022,37419
4/13/2022,37567
4/14/2022,38595
4/15/2022,37916
4/16/2022,36955
4/17/2022,38351
4/18/2022,38609
4/19/2022,37252
4/20/2022,38436
4/21/2022,38718
4/22/2022,37329
4/23/2022,38090
4/24/2022,37729
4/25/2022,38397
4/26/2022,38556
4/27/2022,38128
4/28/2022,38792
4/29/2022,37659
4/30/2022,38650
5/1/2022,38056
5/2/2022,38874
5/3/2022,38254
5/4/2022,37640
5/5/2022,38308
5/6/2022,37933
5/7/2022,37057
5/8/2022,37543
5/9/2022,36955
5/10/2022,38683
5/11/2022,37437
5/12/2022,37641
5/13/2022,37978
5/14/2022,37536
5/15/2022,37977
5/16/2022,38537
5/17/2022,37103
5/18/2022,37405
5/19/2022,37063
5/20/2022,38435
5/21/2022,38498
5/22/2022,37173
5/23/2022,37810
5/24/2022,38646
5/25/2022,37185
5/26/2022,38357
5/27/2022,38571
5/28/2022,37797
5/29/2022,37792
5/30/2022,37931
5/31/2022,36997
6/1/2022,38809
6/2/2022,37459
6/3/2022,37053
6/4/2022,38311
6/5/2022,37998
6/6/2022,38802
6/7/2022,38064
6/8/2022,37316
6/9/2022,37302
6/10/2022,38390
6/11/2022,38515
6/12/2022,37728
6/13/2022,37876
6/14/2022,38852
6/15/2022,39217
6/16/2022,38920
6/17/2022,38386
6/18/2022,37109
6/19/2022,36995
6/20/2022,37188
6/21/2022,38388
6/22/2022,37160
6/23/2022,38478
6/24/2022,38590
6/25/2022,37729
6/26/2022,38829
6/27/2022,37259
6/28/2022,38201
6/29/2022,37460
6/30/2022,37673
7/1/2022,38416
7/2/2022,38882
7/3/2022,37112
7/4/2022,40217
7/5/2022,38841
7/6/2022,37534
7/7/2022,38046
7/8/2022,37181
7/9/2022,36931
7/10/2022,38513
7/11/2022,38555
7/12/2022,38020
7/13/2022,38689
7/14/2022,37953
7/15/2022,37887
7/16/2022,37747
7/17/2022,37920
7/18/2022,36996
7/19/2022,37599
7/20/2022,38159
7/21/2022,38840
7/22/2022,38438
7/23/2022,37057
7/24/2022,37205
7/25/2022,37174
7/26/2022,37539
7/27/2022,38890
7/28/2022,37503
7/29/2022,38780
7/30/2022,38579
7/31/2022,37899
8/1/2022,38443
8/2/2022,38844
8/3/2022,38834
