date,Traffic_Volume,
1/1/2023,38779,
1/2/2023,38298,
1/3/2023,38353,
1/4/2023,38890,
1/5/2023,38374,
1/6/2023,37701,
1/7/2023,38757,
1/8/2023,38409,
1/9/2023,37440,
1/10/2023,38113,
1/11/2023,39035,
1/12/2023,37644,
1/13/2023,37875,
1/14/2023,37704,
1/15/2023,37281,
1/16/2023,37895,
1/17/2023,37860,
1/18/2023,37452,
1/19/2023,38188,
1/20/2023,38517,
1/21/2023,39243,
1/22/2023,37358,
1/23/2023,38240,
1/24/2023,39230,
1/25/2023,37684,
1/26/2023,37620,
1/27/2023,37496,
1/28/2023,39117,
1/29/2023,39227,
1/30/2023,37534,
1/31/2023,39143,
2/1/2023,37474,
2/2/2023,39217,
2/3/2023,38183,
2/4/2023,38782,
2/5/2023,38328,
2/6/2023,38822,
2/7/2023,37454,
2/8/2023,38213,
2/9/2023,38284,
2/10/2023,38053,
2/11/2023,37653,
2/12/2023,39196,
2/13/2023,38296,
2/14/2023,38736,
2/15/2023,37925,
2/16/2023,37440,
2/17/2023,38208,
2/18/2023,39243,
2/19/2023,37592,
2/20/2023,37438,
2/21/2023,38763,
2/22/2023,37663,
2/23/2023,37674,
2/24/2023,37777,
2/25/2023,38346,
2/26/2023,38256,
2/27/2023,38141,
2/28/2023,38849,
3/1/2023,39183,
3/2/2023,37621,
3/3/2023,39256,
3/4/2023,38635,
3/5/2023,39090,
3/6/2023,37404,
3/7/2023,37476,
3/8/2023,39196,
3/9/2023,39251,
3/10/2023,39039,
3/11/2023,37690,
3/12/2023,38248,
3/13/2023,39191,
3/14/2023,37777,
3/15/2023,38165,
3/16/2023,37533,
3/17/2023,38547,
3/18/2023,38118,
3/19/2023,37306,
3/20/2023,39090,
3/21/2023,37622,
3/22/2023,39242,
3/23/2023,37359,
3/24/2023,38090,
3/25/2023,37672,
3/26/2023,38968,
3/27/2023,38507,
3/28/2023,38798,
3/29/2023,37494,
3/30/2023,38470,
3/31/2023,37903,
4/1/2023,37657,
4/2/2023,38743,
4/3/2023,38381,
4/4/2023,39181,
4/5/2023,38966,
4/6/2023,38565,
4/7/2023,37855,
4/8/2023,37714,
4/9/2023,38259,
4/10/2023,37667,
4/11/2023,39381,
4/12/2023,39144,
4/13/2023,39341,
4/14/2023,39276,
4/15/2023,37913,
4/16/2023,37554,
4/17/2023,37617,
4/18/2023,37963,
4/19/2023,38010,
4/20/2023,38934,
4/21/2023,38423,
4/22/2023,37811,
4/23/2023,37939,
4/24/2023,38520,
4/25/2023,37949,
4/26/2023,38763,
4/27/2023,37577,
4/28/2023,38508,
4/29/2023,37965,
4/30/2023,38077,
5/1/2023,38442,
5/2/2023,38315,
5/3/2023,37975,
5/4/2023,37951,
5/5/2023,38623,
5/6/2023,38139,
5/7/2023,38312,
5/8/2023,38926,
5/9/2023,38615,
5/10/2023,39153,
5/11/2023,38367,
5/12/2023,39229,
5/13/2023,38833,
5/14/2023,37446,
5/15/2023,38435,
5/16/2023,37795,
5/17/2023,38045,
5/18/2023,37713,
5/19/2023,38221,
5/20/2023,39048,
5/21/2023,37999,
5/22/2023,38322,
5/23/2023,38804,
5/24/2023,37726,
5/25/2023,37504,
5/26/2023,38474,
5/27/2023,37721,
5/28/2023,37803,
5/29/2023,38744,
5/30/2023,37609,
5/31/2023,37942,
6/1/2023,38966,
6/2/2023,38709,
6/3/2023,38455,
6/4/2023,38944,
6/5/2023,39312,
6/6/2023,38369,
6/7/2023,40225,
6/8/2023,39081,
6/9/2023,39680,
6/10/2023,38465,
6/11/2023,38386,
6/12/2023,38941,
6/13/2023,38514,
6/14/2023,39231,
6/15/2023,38007,
6/16/2023,37635,
6/17/2023,39366,
6/18/2023,39405,
6/19/2023,37387,
6/20/2023,37752,
6/21/2023,37700,
6/22/2023,38413,
6/23/2023,37569,
6/24/2023,38804,
6/25/2023,38768,
6/26/2023,38751,
6/27/2023,39352,
6/28/2023,39539,
6/29/2023,39446,
6/30/2023,37477,
7/1/2023,38213,
7/2/2023,38017,
7/3/2023,38554,
7/4/2023,41210,
7/5/2023,39445,
7/6/2023,38884,
7/7/2023,37640,
7/8/2023,37510,
7/9/2023,37323,
7/10/2023,38991,
7/11/2023,38604,
7/12/2023,37548,
7/13/2023,37469,
7/14/2023,38607,
7/15/2023,37507,
7/16/2023,39394,
7/17/2023,39246,
7/18/2023,37948,
7/19/2023,39263,
7/20/2023,38351,
7/21/2023,38748,
7/22/2023,37448,
7/23/2023,38626,
7/24/2023,38810,
7/25/2023,39643,
7/26/2023,38850,
7/27/2023,38776,
7/28/2023,37795,
7/29/2023,37920,
7/30/2023,37500,
7/31/2023,38739,
8/1/2023,37536,
8/2/2023,38473,
8/3/2023,37716,
8/4/2023,39075,
8/5/2023,38920,
8/6/2023,38257,
8/7/2023,37523,
8/8/2023,38826,
8/9/2023,38419,
8/10/2023,39100,
8/11/2023,38496,
8/12/2023,38018,
8/13/2023,38450,
8/14/2023,38166,
8/15/2023,37332,
8/16/2023,37785,
8/17/2023,39110,
8/18/2023,38889,
8/19/2023,37469,
8/20/2023,38990,
8/21/2023,37910,
8/22/2023,38050,
8/23/2023,38584,
8/24/2023,37491,
8/25/2023,39006,
8/26/2023,39014,
8/27/2023,37774,
8/28/2023,38378,
8/29/2023,37446,
8/30/2023,38641,
8/31/2023,37483,
9/1/2023,38507,
9/2/2023,37407,
9/3/2023,38158,
9/4/2023,37501,
9/5/2023,37350,
9/6/2023,38315,
9/7/2023,38861,
9/8/2023,37296,
9/9/2023,38327,
9/10/2023,39171,
9/11/2023,38068,
9/12/2023,38794,
9/13/2023,37742,
9/14/2023,37902,
9/15/2023,37349,
9/16/2023,38158,
9/17/2023,37632,
9/18/2023,39176,
9/19/2023,39143,
9/20/2023,39070,
9/21/2023,38705,
9/22/2023,39251,
9/23/2023,38486,
9/24/2023,38827,
9/25/2023,38670,
9/26/2023,38306,
9/27/2023,38649,
9/28/2023,37676,
9/29/2023,39127,
9/30/2023,37338,
10/1/2023,38338,
10/2/2023,37298,
10/3/2023,37840,
10/4/2023,38482,
10/5/2023,38879,
10/6/2023,37689,
10/7/2023,38941,
10/8/2023,37545,
10/9/2023,39057,
10/10/2023,38271,
10/11/2023,39210,
10/12/2023,38004,
10/13/2023,39027,
10/14/2023,38342,
10/15/2023,39131,
10/16/2023,37519,
10/17/2023,37777,
10/18/2023,38999,
10/19/2023,37764,
10/20/2023,37350,
10/21/2023,38867,
10/22/2023,38038,
10/23/2023,38380,
10/24/2023,39008,
10/25/2023,38193,
10/26/2023,37528,
10/27/2023,38610,
10/28/2023,38397,
10/29/2023,37991,
10/30/2023,38195,
10/31/2023,38462,
11/1/2023,37762,
11/2/2023,37793,
11/3/2023,38466,
11/4/2023,38776,
11/5/2023,37534,
11/6/2023,37904,
11/7/2023,38565,
11/8/2023,38081,
11/9/2023,39012,
11/10/2023,37651,
11/11/2023,37839,
11/12/2023,37352,
11/13/2023,38196,
11/14/2023,38037,
11/15/2023,37279,
11/16/2023,38772,
11/17/2023,38901,
11/18/2023,38134,
11/19/2023,39113,
11/20/2023,38008,
11/21/2023,37300,
11/22/2023,37670,
11/23/2023,38279,
11/24/2023,37361,
11/25/2023,38472,
11/26/2023,38179,
11/27/2023,37947,
11/28/2023,39094,
11/29/2023,39000,
11/30/2023,39050,
12/1/2023,39071,
12/2/2023,37955,
12/3/2023,38908,
12/4/2023,37319,
12/5/2023,37400,
12/6/2023,37613,
12/7/2023,39096,
12/8/2023,38412,
12/9/2023,39035,
12/10/2023,38629,
12/11/2023,38080,
12/12/2023,37770,
12/13/2023,38261,
12/14/2023,39309,
12/15/2023,37800,
12/16/2023,38735,
12/17/2023,39092,
12/18/2023,38178,
12/19/2023,39125,
12/20/2023,38436,
12/21/2023,38656,
12/22/2023,38632,
12/23/2023,38372,
12/24/2023,39039,
12/25/2023,37394,
12/26/2023,38130,
12/27/2023,37783,
12/28/2023,39150,
12/29/2023,38050,
12/30/2023,38355,
12/31/2023,37635,
