date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.1,3.3,16.1,10.9,0,350,16.6,,1004.5,
2022-01-02,0.5,-4.9,3.3,0.5,0,4,18.7,,1016.7,
2022-01-03,-3.9,-6,-0.5,0,0,294,11.2,,1028.3,
2022-01-04,-2.5,-6,5,0,0,172,20.2,,1020.1,
2022-01-05,1.4,-9.9,4.4,0,0,252,34.6,,1010,
2022-01-06,-9.2,-12.1,-7.7,0,0,282,19.8,,1020,
2022-01-07,-11.9,-16,-7.1,0,0,262,13.7,,1027.8,
2022-01-08,-6.6,-9.9,3.9,4.3,0,152,20.2,,1025.3,
2022-01-09,2.4,-8.2,5.6,10.2,0,284,22.7,,1024.6,
2022-01-10,-6.8,-10.5,-2.1,0,0,286,18,,1034,
2022-01-11,-7.4,-12.1,0.6,0,0,177,16.6,,1032.3,
2022-01-12,2.8,0,8.9,0,0,220,18.4,,1019.2,
2022-01-13,2.6,-2.1,6.7,0,0,296,11.2,,1012.8,
2022-01-14,0.3,-2.1,1.7,0,0,53,13.7,,1019.4,
2022-01-15,-2.1,-7.1,0.6,1.3,0,57,22.7,,1024.2,
2022-01-16,-4.9,-9.3,2.8,0,0,11,15.1,,1013.8,
2022-01-17,-3.6,-4.9,-2.1,0,0,294,21.6,,1010,
2022-01-18,-1.2,-6,6.7,0,0,195,17.6,,1016.3,
2022-01-19,3.8,-6.6,7.2,0,0,279,25.6,,1016.6,
2022-01-20,-7.1,-10.5,-4.3,0,0,355,17.3,,1031.8,
2022-01-21,-6.4,-9.3,-3.2,0,0,82,13.3,,1034.1,
2022-01-22,-7,-11.6,0.6,0,0,209,17.6,,1026.9,
2022-01-23,-2.6,-6,1.1,0.5,0,281,20.2,,1014.4,
2022-01-24,-2.7,-6,3.3,0.3,0,214,22.3,,1009.1,
2022-01-25,-6.7,-13.2,-3.8,0,0,320,16.9,,1023.5,
2022-01-26,-12.5,-17.7,-6,0,0,296,9.4,,1031.9,
2022-01-27,-7.1,-12.1,-1,0.3,0,218,16.9,,1024.6,
2022-01-28,-3.4,-13.8,-1,0.5,0,344,15.5,,1023.7,
2022-01-29,-10.6,-16,-2.1,0,0,233,10.8,,1023.6,
2022-01-30,-3.7,-8.2,3.3,0,0,289,12.2,,1014.3,
2022-01-31,-3.1,-7.7,3.9,0,0,99,10.8,,1020.9,
2022-02-01,4.8,-1,15,0,0,164,18.4,,1017.7,
2022-02-02,6.9,-3.2,11.1,29.7,0,32,16.9,,1017.5,
2022-02-03,-4.6,-7.1,-2.7,12.2,30,22,30.6,,1023.7,
2022-02-04,-7.7,-10.5,-6,0,180,336,15.1,,1027.1,
2022-02-05,-10.2,-16.6,-6.6,0,150,256,13.7,,1032,
2022-02-06,-6.3,-11.6,2.8,0,150,179,12.6,,1026.1,
2022-02-07,-4.7,-11,-3.8,0,130,276,13.7,,1023.5,
2022-02-08,-5.1,-13.2,7.2,0,100,173,15.5,,1018.5,
2022-02-09,4.7,1.7,7.2,0,80,232,22,,1010.4,
2022-02-10,1.2,-2.7,2.2,0,30,251,17.3,,1014.6,
2022-02-11,2.2,-1,7.2,2.8,0,221,20.9,,1008.1,
2022-02-12,-2.3,-8.2,0.6,0.3,0,309,20.2,,1024.1,
2022-02-13,-8.1,-12.7,-6,0.5,0,309,10.4,,1026.5,
2022-02-14,-8.7,-12.1,-1.6,0,0,288,6.1,,1027.6,
2022-02-15,-1.9,-7.7,7.2,0,0,109,14.8,,1028.2,
2022-02-16,9.5,5.6,15.6,0,0,184,27.4,,1017.5,
2022-02-17,9.8,-3.2,15,41.7,0,289,24.1,,1008.8,
2022-02-18,-4.4,-9.9,0,0,0,252,21.6,,1022.1,
2022-02-19,-3.7,-7.1,0.6,0,0,301,21.6,,1027.1,
2022-02-20,0.2,-7.1,13.3,0,0,189,21.2,,1021.6,
2022-02-21,8.8,1.7,17.2,0,0,172,18,,1015.9,
2022-02-22,13.6,-1,16.1,22.4,0,199,24.5,,1011.1,
2022-02-23,-2.3,-4.9,-1,0,0,334,18.7,,1029,
2022-02-24,-2.7,-3.8,0,6.9,0,55,16.9,,1024.5,
2022-02-25,-1.8,-4.3,-0.5,0,0,301,17.3,,1027.7,
2022-02-26,-2.9,-4.9,1.7,0,0,266,11.2,,1033.3,
2022-02-27,0.1,-5.5,8.9,0,0,268,12.2,,1025.6,
2022-02-28,2.9,-3.8,11.7,0,0,230,10.8,,1022.2,
2022-03-01,8.2,2.2,18.9,0,0,256,16.9,,1016.1,
2022-03-02,9.6,2.2,20,0,0,353,13.7,,1017.3,
2022-03-03,5.9,1.1,11.7,0,0,33,18.4,,1025.2,
2022-03-04,3.3,-1.6,11.1,0,0,95,16.6,,1027.5,
2022-03-05,13,5,25,0,0,164,26.6,,1016.3,
2022-03-06,16.7,7.8,20.6,4.3,0,268,23,,1013.9,
2022-03-07,5.2,0,7.8,45,0,322,24.5,,1013.2,
2022-03-08,0.6,-1,3.9,0,0,329,7.9,,1022.7,
2022-03-09,3.5,0.6,9.4,0,0,334,12.2,,1017.1,
2022-03-10,3.7,-1,10,0,0,3,9.4,,1020.4,
2022-03-11,0.6,-4.9,3.3,0.3,0,330,20.2,,1017.5,
2022-03-12,-6.1,-10.5,-3.2,0,0,292,26.3,,1021.9,
2022-03-13,-0.4,-9.3,11.7,0,0,212,27,,1020,
2022-03-14,8.8,1.7,18.3,0,0,191,19.4,,1022.8,
2022-03-15,13.1,8.3,20,0,0,237,11.5,,1021.8,
2022-03-16,13.4,5,22.2,0,0,155,9.7,,1016.7,
2022-03-17,14.7,6.1,23.3,0,0,233,6.8,,1012.8,
2022-03-18,14.1,10.6,17.8,17.3,0,116,12.2,,1007.9,
