date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,0.8,0,3.3,0,0,299,15.5,,1024.1,
2024-01-02,-0.1,-3.2,1.1,0,0,239,19.1,,1024.8,
2024-01-03,-1.7,-4.3,1.1,0,0,269,13.7,,1019.5,
2024-01-04,0.4,-3.8,1.7,0,0,340,10.1,,1026.2,
2024-01-05,-2.1,-6,3.3,0,0,108,12.2,,1023,
2024-01-06,0.8,-0.5,1.7,5.8,50,41,9.4,,1008.5,
2024-01-07,1.1,0,2.2,0.5,0,256,16.9,,1015.2,
2024-01-08,1.9,-0.5,3.9,1.5,0,125,18.7,,1022.3,
2024-01-09,3.7,0.6,7.2,31,0,159,27.4,,991,
2024-01-10,1.1,-0.5,1.1,0.5,0,232,25.2,,1002,
2024-01-11,2.2,0.6,5.6,0,0,227,19.8,,1010.2,
2024-01-12,2.8,-3.8,6.1,22.9,0,132,25.6,,996.5,
2024-01-13,-4.9,-11,-3.8,1,0,247,34.9,,1007.2,
2024-01-14,-14.9,-19.9,-11,0,0,267,23,,1023.9,
2024-01-15,-18.2,-21,-14.3,0,0,279,12.2,,1026.4,
2024-01-16,-14.3,-16.6,-11.6,0.8,0,257,21.6,,1022.8,
2024-01-17,-11.7,-16,-2.1,0,0,219,22.7,,1020,
2024-01-18,-3.5,-4.3,0,0.3,0,228,12.6,,1017,
2024-01-19,-6.7,-14.3,-3.8,2.3,50,296,24.5,,1022.7,
2024-01-20,-13.8,-17.7,-8.8,0,30,275,16.9,,1034.2,
2024-01-21,-12.6,-18.2,-3.8,0,30,192,10.1,,1037.4,
2024-01-22,-3.5,-8.8,3.9,0.8,0,186,14,,1029.5,
2024-01-23,3.2,1.1,6.7,17.5,0,144,14,,1025.2,
2024-01-24,7.9,5.6,11.7,8.1,0,151,10.4,,1019.4,
2024-01-25,9.5,7.2,11.7,14.5,0,36,8.6,,1015.5,
2024-01-26,7.2,3.9,8.9,0.3,0,251,18.4,,1019,
2024-01-27,4.1,3.3,5,9.1,0,25,14.8,,1019.2,
2024-01-28,3.7,1.7,5,5.1,0,339,28.4,,1015.4,
2024-01-29,1.1,-0.5,2.2,0,0,258,16.9,,1022.7,
2024-01-30,0.9,-0.5,3.3,3,0,231,16.2,,1015.3,
2024-01-31,3.4,1.1,7.2,0,0,280,13.7,,1020.8,
2024-02-01,4.2,-0.5,11.7,0,0,228,14.8,,1015.9,
2024-02-02,5.3,0,7.2,0,0,49,17.3,,1017.8,
2024-02-03,2.3,-1.6,8.9,0,0,73,16.6,,1018.4,
2024-02-04,3.4,-2.7,11.1,0,0,49,18.4,,1014.7,
2024-02-05,3.9,-2.1,11.1,0,0,28,15.8,,1017.1,
2024-02-06,2.3,-0.5,7.2,0,0,58,11.2,,1022.5,
2024-02-07,3.6,-2.1,11.1,0,0,110,8.6,,1022.4,
2024-02-08,10.1,4.4,18.3,0,0,170,23.4,,1014.8,
2024-02-09,14.4,11.1,18.9,0,0,210,24.5,,1011.4,
2024-02-10,9.4,2.2,13.3,2.5,0,298,16.9,,1013.7,
2024-02-11,3,-2.1,8.9,0,0,19,12.2,,1016.8,
2024-02-12,3.5,-0.5,8.3,0,0,17,14.8,,1011.7,
2024-02-13,2.9,-2.7,10,0,0,292,15.5,,1015.9,
2024-02-14,4.5,-0.5,9.4,0,0,78,12.2,,1022.3,
2024-02-15,5.6,-0.5,10,0,0,250,22,,1017.3,
2024-02-16,0.3,-6.6,1.7,8.9,0,9,16.2,,1019.3,
2024-02-17,-7,-10.5,-4.9,0,100,275,22,,1022.1,
2024-02-18,-6.4,-10.5,1.1,0,80,239,22.7,,1017,
2024-02-19,-0.6,-7.1,8.9,0,30,165,7.9,,1021.7,
2024-02-20,4.3,-2.1,13.9,0,0,170,9.4,,1023.4,
2024-02-21,9.3,1.1,20,0,0,174,18,,1017.3,
2024-02-22,12.6,5,14.4,14.2,0,36,11.2,,1005.4,
2024-02-23,6.4,0.6,12.2,0,0,282,16.2,,1005.4,
2024-02-24,2.2,-3.2,7.2,0.3,0,323,18.4,,1015.2,
2024-02-25,3,-3.2,15.6,0,0,181,16.2,,1013.6,
2024-02-26,10.7,2.2,22.8,0,0,152,11.9,,1008.6,
2024-02-27,17.6,14.4,20,0,0,184,24.8,,998.1,
2024-02-28,7.7,-3.2,20,15.2,0,279,32.4,,1012.5,
2024-02-29,-0.9,-6,6.7,0,0,230,10.4,,1031.6,
2024-03-01,2.1,-1.6,6.1,0,0,129,12.6,,1023.5,
2024-03-02,6.6,4.4,12.8,0,0,173,11.2,,1019.9,
2024-03-03,9.8,3.9,21.1,0,0,141,19.1,,1016.4,
2024-03-04,16.4,11.7,25,0,0,166,17.6,,1014.7,
2024-03-05,16.8,11.1,17.8,21.8,0,172,12.2,,1012.1,
2024-03-06,10,7.2,11.1,0,0,3,16.9,,1014.9,
2024-03-07,7.9,6.7,10,0,0,82,14.4,,1017.5,
2024-03-08,10,8.3,13.3,10.7,0,142,16.2,,1012.2,
2024-03-09,8.6,3.3,12.8,0.8,0,300,23,,1010.1,
2024-03-10,3.4,-1,8.9,0,0,299,23,,1018.5,
